cc_alias	cc_id	language	lexeme	lexeme_id	status	comments 1	comments 2	comments 3
good-B	229	Norwegian	GOD	13209				
good-B	229	Old_English	gōd	21393				
good-B	229	Old_High_German	guot	27951				
good-B	229	Old_Norse	góðr	21646				
good-B	229	Schwyzerdutsch	guet	29068				
good-B	229	Swedish	gu:d	16168				
good-F	883	Catalan	bɔ	3989				
good-F	883	French	bɔ̃	5767				
good-F	883	Friulian	bon	26226				
good-F	883	Italian	'bwɔno	8904				
good-F	883	Ladin	BUNA	9485				
good-F	883	Latin	bonus	20410				
good-F	883	Portuguese_ST	bõ	12810				
good-F	883	Provencal	BON, ONO	13010				
good-F	883	Romansh	bein, bien	26433				
good-F	883	Rumanian_List	bun	13407				
good-F	883	Sardinian_C	BONU	13998				
good-F	883	Sardinian_N	BONU	14397				
good-F	883	Spanish	'bweno	15969				
good-F	883	Walloon	BON, BONE	17906				
good-G	1011	Breton_ST	maːd	3009				
good-G	1011	Cornish	ma:z	19682				
good-G	1011	Irish_B	mˠa, mˠah, mˠaɪ, mˠaɪh	8708				
good-G	1011	Old_Irish	maith	28199				
good-G	1011	Scots_Gaelic	ma:, mah	24050				
good-O	2151	Cornish	da:	19681				
good-O	2151	Welsh_N	DA	18498				
grass-B	230	Afrikaans	GRAS	262				
grass-B	230	Danish	g̥ʁas	4775				
grass-B	230	Dutch_List	ɣrɑs	4975				
grass-B	230	English	grɑ:s	5174				
grass-B	230	Faroese	ɡras	5373				
grass-B	230	Flemish	GRAS	5569				
grass-B	230	Frisian	gɛːs	6361				
grass-B	230	German	gra:s	6553				
grass-B	230	Gothic	gra-s*	19985				
grass-B	230	Icelandic_ST	GRAS	8316				
grass-B	230	Latin	gramen	20411				
grass-B	230	Luxembourgish	Gras	24137				
grass-B	230	Norwegian	GRESS	13210				
grass-B	230	Old_English	græs	21394				
grass-B	230	Old_High_German	gras	27952				
grass-B	230	Old_Norse	gras	21647				
grass-B	230	Schwyzerdutsch	gras	29069				
grass-B	230	Swedish	grɛ:s	16169				
grass-F	884	Catalan	'erßə	3990				
grass-F	884	French	ɛʀb	5768				
grass-F	884	Friulian	jerbe	26227				
grass-F	884	Italian	'ɛrba	8905				
grass-F	884	Ladin	ERVA	9486				
grass-F	884	Latin	herba	20412	EXCLUDE		SS	wurzeletymologisch wohl zu grass-B
grass-F	884	Portuguese_ST	ˈɛɾvɐ	12811				
grass-F	884	Portuguese_ST	RELVA	25461				
grass-F	884	Provencal	ˈɛrβo	13011				
grass-F	884	Provencal	GERME	27014	WRONG			
grass-F	884	Romansh	erva	26434				
grass-F	884	Rumanian_List	ˈjarbə	13408				
grass-F	884	Sardinian_C	ERBA	13999				
grass-F	884	Sardinian_N	ERVA	14398				
grass-F	884	Spanish	'jeɾβa	15970				
grass-F	884	Walloon	JEBE	17907				
grass-G	1092	Breton_ST	gɛwt	3010				
grass-G	1092	Cornish	gwels	19683				
grass-G	1092	Welsh_N	GLASWELLT	25472				
grass-G	1092	Welsh_N	GWELLT	18499				
grass-K	1710	Welsh_N	GWAIR	25473				
grass-K	1710	Irish_B	FEAR, FEIR	8709				
grass-K	1710	Old_Irish	fér	28200				
grass-K	1710	Scots_Gaelic	feur	23913				
green-A	49	Breton_ST	'gla:s	3011				
green-A	49	Irish_B	ɡl̪ˠasˠ	8710				
green-A	49	Old_Irish	glas	29486				
green-A	49	Scots_Gaelic	glas	24036				
green-B	231	Afrikaans	GROEN	263				
green-B	231	Danish	g̥ʁɶ̝n	4776				
green-B	231	Dutch_List	ɣrun	4976				
green-B	231	English	gri:n	5175				
green-B	231	Faroese	GRONUR	5374				
green-B	231	Flemish	GROEN	5570				
green-B	231	Frisian	gri.ən	6362				
green-B	231	German	gry:n	6554				
green-B	231	Icelandic_ST	kraitn	8317				
green-B	231	Luxembourgish	gréng	24254				
green-B	231	Norwegian	ɡɾøn	13211				
green-B	231	Old_English	grēne	21395				
green-B	231	Old_High_German	gruoni	27953				
green-B	231	Old_Norse	grœnn	21648				
green-B	231	Schwyzerdutsch	grüen	29070				
green-B	231	Swedish	grøːn	16170				
green-G	885	Breton_ST	'gwe:r	24740	LOAN	Latin		
green-G	885	Catalan	bert	3991				
green-G	885	Cornish	gwe:r	19684	LOAN	Latin		
green-G	885	French	vɛʀ	5769				
green-G	885	Friulian	vert	26228				
green-G	885	Italian	'verde	8906				
green-G	885	Ladin	VERD, VIERD	9487				
green-G	885	Latin	ˈwiridis	20413				
green-G	885	Portuguese_ST	ˈveɾdɨ	12812				
green-G	885	Provencal	VERT, ERDO	13012				
green-G	885	Romansh	verd	26435				
green-G	885	Rumanian_List	ˈverde	13409				
green-G	885	Sardinian_C	BIRDI	14000				
green-G	885	Sardinian_N	VIRDE	14399				
green-G	885	Spanish	'beɾðe	15971				
green-G	885	Walloon	VERT	17908				
green-G	885	Welsh_N	ɡwɨrð	18500	LOAN	Latin		
green-K	2285	Irish_B	ˈuənʲə	24738				
green-K	2285	Old_Irish	úaine	28201				
green-K	2285	Scots_Gaelic	ˈuənʲə	24037				
guts-B	232	Afrikaans	DERM	25468				
guts-B	232	Danish	d̥ʰɑm	4777				
guts-B	232	Dutch_List	dɑrm	4977				
guts-B	232	Faroese	TARMAR	5375				
guts-B	232	Flemish	DARMEN	5571				
guts-B	232	German	gə'dɛrm	25469				
guts-B	232	Icelandic_ST	THARMAR	8318				
guts-B	232	Norwegian	TARMER	13212				
guts-B	232	Old_English	þearm	21397				
guts-B	232	Old_High_German	darm	27954				
guts-B	232	Old_Norse	Þarma	21649				
guts-B	232	Schwyzerdutsch	darm	29071				
guts-B	232	Swedish	tarm	16171				
guts-F	1012	Breton_ST	bu'zɛlɛn	3012	LOAN	Latin		
guts-I	1263	Catalan	bu'ðeʎs	3992				
guts-I	1263	French	bwajo	5770				
guts-I	1263	Friulian	budiel	26229				
guts-I	1263	Ladin	BOGL	9488				
guts-I	1263	Provencal	BUDEU, BOUIEU	13013				
guts-I	1263	Romansh	begl	26436				
guts-I	1263	Walloon	BOYE	17909				
guts-K	1588	Friulian	intestin	26595			SS	was ist bei guts-K der fils rouge? in-? Also auch dt. Ineereien etc.?
guts-K	1588	Italian	intes'tino	8907				
guts-K	1588	Latin	intestina	20414				
guts-K	1588	Latin	viscera	20415	WRONG		SS	nicht zu intestina; < viscus, -eris
guts-K	1588	Old_Norse	innyfli	21652				
guts-K	1588	Old_Norse	iðr	21651				
guts-K	1588	Portuguese_ST	ẽˈtɾɐɲɐʃ	25471				
guts-K	1588	Sardinian_N	ENTRE	14400				
guts-K	1588	Spanish	INTESTINO	15972				
guts-M	2068	Sardinian_C	MAZZAMINI	14001				
guts-N	2672	Faroese	GARNAR	25467				
guts-N	2672	Old_Norse	garnar	21650				
guts-O	2673	Afrikaans	INGEWAND	264				
guts-O	2673	German	'a‿ingəva‿idə	6555				
guts-P	2676	English	gʌts	5176				
guts-P	2676	Old_English	guttas	21396				
guts-Q	2677	Luxembourgish	Träipen	24164	LOAN	French		
guts-Q	2677	Portuguese_ST	TRIPAS	12813				
hair-B	233	Afrikaans	HAAR, HARE	265				
hair-B	233	Danish	hɒ	4778				
hair-B	233	Dutch_List	har	4978				
hair-B	233	English	hɛə	5177				
hair-B	233	Faroese	HAR	5376				
hair-B	233	Flemish	HAIR, HAER	5572				
hair-B	233	Frisian	hi.ər	6363				
hair-B	233	German	ha:ɐ̯	6556				
hair-B	233	Icelandic_ST	hauːr	8319				
hair-B	233	Luxembourgish	Hoer	24149				
hair-B	233	Norwegian	HAR	13213				
hair-B	233	Old_English	hǣr	21398				
hair-B	233	Old_High_German	hār	27955				
hair-B	233	Old_Norse	hár	21653				
hair-B	233	Schwyzerdutsch	haar	29072				
hair-B	233	Swedish	ho:r	16172				
hair-G	887	Catalan	kə'ßɛʎ	26140				
hair-G	887	French	ʃəvø	5771				
hair-G	887	Friulian	cjaveli	26230				
hair-G	887	Italian	ka'pello	26142				
hair-G	887	Ladin	CHAVE	9489				
hair-G	887	Latin	capillus	20416				
hair-G	887	Portuguese_ST	kɐˈβelu	12814				
hair-G	887	Provencal	CABEU	26143				
hair-G	887	Romansh	cavegl	26596				
hair-G	887	Spanish	ka'βeʎo	15973				
hair-G	887	Walloon	TCHIVE, DJ'VE	17910				
hair-H	1013	Breton_ST	blɛw	3013				
hair-H	1013	Cornish	blew	19686				
hair-J	1202	Old_Irish	folt	28202				
hair-J	1202	Scots_Gaelic	falt	23924				
hair-J	1202	Welsh_N	GWALLT	18502				
hair-L	1711	Irish_B	GRUAIG, GRUAIGE	8712				
hair-L	1711	Scots_Gaelic	gruag	23925				
hair-Q	3153	Catalan	pɛl	3993				
hair-Q	3153	Friulian	pêl	31649				
hair-Q	3153	Italian	'pelo	8908				
hair-Q	3153	Provencal	PEU	13014				
hair-Q	3153	Romansh	peil	26437				
hair-Q	3153	Rumanian_List	păr	13411				
hair-Q	3153	Sardinian_C	PILU	14002				
hair-Q	3153	Sardinian_N	PILU	14401				
hair-Q	3153	Spanish	PELO	26141				
hand-B	234	Afrikaans	HAND	266				
hand-B	234	Danish	hʌn	4779				
hand-B	234	Dutch_List	hɑnt	4979				
hand-B	234	English	hænd	5178				
hand-B	234	Faroese	hɔnd	5377				
hand-B	234	Flemish	HAND	5573				
hand-B	234	Frisian	hɔ:n	6364				
hand-B	234	German	hant	6557				
hand-B	234	Gothic	handus	19989				
hand-B	234	Icelandic_ST	hœnt	8320				
hand-B	234	Luxembourgish	Hand	24161				
hand-B	234	Norwegian	hånd	13214				
hand-B	234	Old_English	hand	21399				
hand-B	234	Old_High_German	hant	27957				
hand-B	234	Old_Norse	ho̜nd	21655				
hand-B	234	Schwyzerdutsch	hang	29073				
hand-B	234	Swedish	hand	16173				
hand-E	888	Catalan	ma	3994				
hand-E	888	French	mɛ̃	5772				
hand-E	888	Friulian	man	26231				
hand-E	888	Italian	'mano	8909				
hand-E	888	Ladin	MAUN	9490				
hand-E	888	Latin	ˈmanus	20417				
hand-E	888	Portuguese_ST	mɐ̃u	12815				
hand-E	888	Provencal	ma	13015				
hand-E	888	Romansh	maun	26438				
hand-E	888	Rumanian_List	ˈmɨ.nə	13412				
hand-E	888	Sardinian_C	MANU	14003				
hand-E	888	Sardinian_N	MANU	14402				
hand-E	888	Spanish	'mano	15974				
hand-E	888	Walloon	MIN	17911				
hand-F	1014	Breton_ST	dɔʁn	3014				
hand-F	1014	Cornish	dorn	19687				
hand-I	1712	Irish_B	l̪ˠɑːvˠ, l̪ˠæːw	8713				
hand-I	1712	Old_Irish	lám	28203				
hand-I	1712	Scots_Gaelic	ɫ̪ãːv	23936				
hand-I	1712	Welsh_N	LLAW	18503				
he-A	235	Afrikaans	HY	267				
he-A	235	Danish	han	4780				
he-A	235	Dutch_List	hɛi	4980				
he-A	235	English	hi:	5179				
he-A	235	Faroese	HANN	5378				
he-A	235	Flemish	HY	5574				
he-A	235	Frisian	hɛi	25479				
he-A	235	Icelandic_ST	hanː	8321				
he-A	235	Luxembourgish	hien	24078				
he-A	235	Norwegian	HAN	13215				
he-A	235	Old_English	hē	21400				
he-A	235	Old_Norse	hann	21656				
he-A	235	Swedish	han	16174				
he-E	889	Catalan	eʎ	26992				
he-E	889	Catalan	LO	3995				
he-E	889	French	il	5773				
he-E	889	Friulian	lui	26232				
he-E	889	Italian	'eʎʎi, 'lui	8910				
he-E	889	Ladin	EL	9491				
he-E	889	Portuguese_ST	ˈelɨ	12816				
he-E	889	Provencal	EU	13016				
he-E	889	Romansh	el	26439				
he-E	889	Rumanian_List	jel	13413				
he-E	889	Spanish	el	15975				
he-E	889	Walloon	I (BEFORE CONSONANT), IL (BEFORE VOWEL)	17912				
he-J	2678	Breton_ST	ẽ:	3015				
he-J	2678	Cornish	e:	19688				
he-J	2678	Frisian	ər	6365				
he-J	2678	German	e:ɐ̯	6558				
he-J	2678	Gothic	is	19990				
he-J	2678	Irish_B	E	8714				
he-J	2678	Latin	is	20418				
he-J	2678	Old_High_German	er	27958				
he-J	2678	Schwyzerdutsch	är	29074				
he-J	2678	Scots_Gaelic	e	23839				
he-J	2678	Welsh_N	ɛv	18504				
he-K	2679	Irish_B	ʃeː	25481			SS	zu sard. isse, issu?
he-K	2679	Irish_B	SEISEAN	25480			SS	
he-K	2679	Sardinian_C	ISSU	14004				
he-K	2679	Sardinian_N	ISSE	14403				
head-B	236	Afrikaans	HOOF	268				
head-B	236	Catalan	kap	3996				
head-B	236	Danish	ho:əð	4781				
head-B	236	Dutch_List	hoft	4981				
head-B	236	English	hɛd	5180				
head-B	236	Faroese	høːvʊr	26952				
head-B	236	Faroese	hœdː	5379				
head-B	236	Flemish	HOOFD	5575				
head-B	236	Frisian	kɔp	27668				
head-B	236	Frisian	HAED	6366				
head-B	236	Friulian	cjâf	26233				
head-B	236	Gothic	haubiþ	19991				
head-B	236	Icelandic_ST	HOFUO	8322				
head-B	236	Latin	caput	20419				
head-B	236	Luxembourgish	Kapp	24150				
head-B	236	Norwegian	HODE	13216				
head-B	236	Old_English	hēafod	21401				
head-B	236	Old_High_German	houbit	27959				
head-B	236	Old_Norse	ho̜fuð	21657				
head-B	236	Portuguese_ST	kɐˈβesɐ	12817				
head-B	236	Provencal	kap	26602				
head-B	236	Romansh	tgau	26440				
head-B	236	Rumanian_List	kap	13414				
head-B	236	Spanish	ka'βeθa	15976				
head-B	236	Swedish	'hʉ:vɵd	16175				
head-D	3171	French	tɛt	5774				
head-D	3171	Friulian	teste	31650	LOAN	Italian?		
head-D	3171	Italian	'tɛsta	8911				
head-D	3171	Ladin	TESTA	9492				
head-D	3171	Provencal	TESTO	13017				
head-D	3171	Romansh	testa	26601				
head-D	3171	Walloon	TIESSE	17913				
head-E	1015	Breton_ST	pɛ̃n	3016				
head-E	1015	Cornish	pedn	19689				
head-E	1015	Irish_B	caːn̪ˠ, can̪ˠ	8715				
head-E	1015	Old_Irish	cenn	28205				
head-E	1015	Scots_Gaelic	ceann	23926				
head-E	1015	Welsh_N	PEN	18505				
head-I	2069	Sardinian_C	KONKA	14005			SS	ist das = conca ‹Mulde, Napf› < concha ‹Muschel›
head-I	2069	Sardinian_N	KONKA	14404			SS	ist das = conca ‹Mulde, Napf› < concha ‹Muschel›
head-O	3857	German	kɔp͜f	6559	LOAN	Latin	SS	← lat. cuppa
head-O	3857	Schwyzerdutsch	chopf	29075	LOAN	Latin	SS	← lat. cuppa
hear-B	237	Afrikaans	HOOR	269				
hear-B	237	Danish	'ho:ʌ	4782				
hear-B	237	Dutch_List	'horə(n)	4982				
hear-B	237	English	hɪə	5181				
hear-B	237	Faroese	HOYRA	5380				
hear-B	237	Flemish	HOOREN	5576				
hear-B	237	Frisian	'jɛrə	6367				
hear-B	237	German	'hørən	6560				
hear-B	237	Icelandic_ST	HEYRA	8323				
hear-B	237	Luxembourgish	héieren	24181				
hear-B	237	Norwegian	HORE	13217				
hear-B	237	Old_English	hīerþ	21402				
hear-B	237	Old_High_German	hōrit	27960				
hear-B	237	Old_Norse	heyra	21658				
hear-B	237	Schwyzerdutsch	ghöre	29076				
hear-B	237	Swedish	'hœ:ra	16176				
hear-E	598	Breton_ST	'klɛ:vɛt, 'klɛ:vut	3017				
hear-E	598	Cornish	klywes	19690				
hear-E	598	Irish_B	kl̪ˠɔʃ	26922				
hear-E	598	Irish_B	AINIGHIM	8716	WRONG			
hear-E	598	Irish_B	kl̪ˠɪnʲ	26923				
hear-E	598	Old_Irish	ro·cluinethar	28206				
hear-E	598	Scots_Gaelic	cluinn	23956				
hear-E	598	Welsh_N	CLYWED	18506				
hear-G	890	Friulian	uldî	31651				
hear-G	890	Italian	u'dire	8912				
hear-G	890	Ladin	UDIR	9493				
hear-G	890	Latin	audīre	20420				
hear-G	890	Portuguese_ST	oˈviɾ	12818				
hear-G	890	Provencal	AUSI	24764				
hear-G	890	Romansh	udir	26441				
hear-G	890	Rumanian_List	a auzi	13415				
hear-G	890	Spanish	o'iɾ	15977				
hear-G	890	Walloon	ORE, OYI	17914				
hear-I	2295	Catalan	sən'ti	3997				
hear-I	2295	Friulian	sintî	26234	LOAN	?	SS	LOAN: wie das? woher?
hear-I	2295	Italian	sen'tire	24763				
hear-I	2295	Romansh	sentir	31604				
hear-J	2296	French	ɑ̃tɑ̃dʀ	5775				
hear-J	2296	Provencal	ENTENDRE	13018				
hear-J	2296	Sardinian_C	INTENDI	14006				
hear-J	2296	Sardinian_N	INTENNERE	14405				
heart-D	1016	Breton_ST	'ka:lɔ̃n	3018				
heart-D	1016	Cornish	kələn	19691				
heart-D	1016	Welsh_N	CALON	18507				
heart-G	2045	Rumanian_List	ˈinimə	13416				
heart-J	55	Afrikaans	HART	270				
heart-J	55	Catalan	kɔɾ	3998				
heart-J	55	Danish	'jɛɐ̯d̥ʰə	4783				
heart-J	55	Dutch_List	hɑrt	4983				
heart-J	55	English	hɑ:t	5182				
heart-J	55	Faroese	ˈjar̥ta	5381				
heart-J	55	Flemish	HART	5577				
heart-J	55	French	kœʀ	5776				
heart-J	55	Frisian	həːt	6368				
heart-J	55	Friulian	cûr	26235				
heart-J	55	German	hɛrt͜s	6561				
heart-J	55	Gothic	haírtō	19993				
heart-J	55	Icelandic_ST	ˈçar̥ta	8324				
heart-J	55	Irish_B	CROIDHE	8717				
heart-J	55	Italian	'kwɔre	8913				
heart-J	55	Ladin	COUR	9494				
heart-J	55	Latin	cor	20421				
heart-J	55	Luxembourgish	Häerz	24168				
heart-J	55	Norwegian	hjerte	13218				
heart-J	55	Old_English	heorte	21403				
heart-J	55	Old_High_German	herza	27961				
heart-J	55	Old_Irish	cride	28207				
heart-J	55	Old_Norse	hjarta	21659				
heart-J	55	Portuguese_ST	kuɾɐˈsɐ̃w	12819				
heart-J	55	Provencal	kɔr	13019				
heart-J	55	Romansh	cor	26442				
heart-J	55	Sardinian_C	KORI	14007				
heart-J	55	Sardinian_N	KORO	14406				
heart-J	55	Schwyzerdutsch	häärz	29077				
heart-J	55	Scots_Gaelic	cridhe	23944				
heart-J	55	Spanish	koɾa'θon	15978				
heart-J	55	Swedish	'jæʈa	16177				
heart-J	55	Walloon	COUR	17915				
heavy-B	238	Afrikaans	SWAAR	271				
heavy-B	238	Dutch_List	zwar	4984				
heavy-B	238	Flemish	ZWAAR	5578				
heavy-B	238	Frisian	svi.ər	27215				
heavy-B	238	German	ʃve:ɐ̯	6562				
heavy-B	238	Luxembourgish	schwéier	24107				
heavy-B	238	Old_English	swǣr	21404				
heavy-B	238	Old_High_German	swāri	27962				
heavy-B	238	Schwyzerdutsch	schwäär	29078				
heavy-B	238	Swedish	stur	27253				
heavy-B	238	Swedish	svo:r	16178				
heavy-F	782	Catalan	pə'zan	25486				
heavy-F	782	Friulian	pesant	26236				
heavy-F	782	Italian	pe'sante	8914				
heavy-F	782	Ladin	PESANT	9495				
heavy-F	782	Portuguese_ST	pɨˈzaðu	12820				
heavy-F	782	Romansh	pesant	26603				
heavy-F	782	Sardinian_N	PESANTE	14407				
heavy-F	782	Spanish	pe'saðo	25487				
heavy-G	1017	Breton_ST	'pɔ̃nɛr, 'pũnɛr	3019	LOAN	Latin		
heavy-G	1017	Frisian	POUNICH	25485	WRONG			
heavy-H	1143	Danish	d̥ʰɔŋ	4784				
heavy-H	1143	Faroese	tungur	32243				
heavy-H	1143	Icelandic_ST	ˈθuŋkʏr	8325				
heavy-H	1143	Norwegian	TUNG	13219				
heavy-H	1143	Old_Norse	Þungr	21660				
heavy-I	1348	English	'hɛvɪ	5183				
heavy-I	1348	Old_English	hefig	21405			SS	also zu dt. heben etc.
heavy-I	1348	Old_High_German	hefīg	27963				
heavy-I	1348	Old_Norse	ho̜fugru	21661				
heavy-J	1713	Irish_B	IOMTHROM	8718				
heavy-J	1713	Old_Irish	tromm	28208				
heavy-J	1713	Scots_Gaelic	trom	23874				
heavy-J	1713	Welsh_N	TRWM	18508				
heavy-M	2686	Gothic	kaúrus	19994				
heavy-M	2686	Italian	'grɛve	25490				
heavy-M	2686	Latin	ˈɡrawis	20422				
heavy-M	2686	Provencal	GREU	25488				
heavy-M	2686	Provencal	EVO	25489				
heavy-M	2686	Romansh	grev	26443				
heavy-M	2686	Rumanian_List	greu	13417				
heavy-M	2686	Sardinian_C	GRAI	14008				
heavy-M	2686	Spanish	GRAVE	15979				
heavy-O	2688	French	luʀ	5777			SS	← ← lat. luridus: gelblich, leochenblass → töricht, schwerfällig (span. lerdo) → schwer
heavy-O	2688	Provencal	LOURD	13020				
heavy-O	2688	Walloon	LOUR(D)	17916				
here-B	239	Afrikaans	HIER	272			SS	here-x: ich kann keine Ratio erkennen! Elemente: *k`(e)i- (dt. hier) vs. *ghei- + °k`e (lat. hīc, alat. hei-ce); dann etwa für ital qui, qua behauptet Treccani < eccu(m) hīc (so auch RAE für span. aquí) , eccu(m) hac  ==> ich würde dieses Material in der jetzigen Form nicht verwenden!!!
here-B	239	Catalan	ə'ki	4000				
here-B	239	Danish	hεɐ̯, heɐ̯	4785				
here-B	239	Dutch_List	hir	4985				
here-B	239	English	hɪə	5184				
here-B	239	Faroese	HER	5382				
here-B	239	Flemish	HIER	5579				
here-B	239	French	isi	5778				
here-B	239	Frisian	jɪr	6370				
here-B	239	German	hi:ɐ̯	6563				
here-B	239	Gothic	hēr	19995				
here-B	239	Icelandic_ST	hjɛr	8326				
here-B	239	Italian	kwi, kwa	8915				
here-B	239	Ladin	TSCHO, ACCO / ACQUI, QUI	9496				
here-B	239	Luxembourgish	hei	24084				
here-B	239	Norwegian	HER	13220				
here-B	239	Old_English	hēr	21406				
here-B	239	Old_High_German	hier	27964				
here-B	239	Old_Norse	hér	21662				
here-B	239	Portuguese_ST	ɐˈki	12821				
here-B	239	Provencal	EICI, CAI	13021				
here-B	239	Rumanian_List	INCOACE	25496				
here-B	239	Rumanian_List	aˈitʃʲ	13418				
here-B	239	Schwyzerdutsch	hie	29079				
here-B	239	Spanish	a'ki	15980				
here-B	239	Swedish	hɛːr	16179				
here-F	2699	Catalan	ə'ki	4000				
here-F	2699	French	isi	5778				
here-F	2699	Italian	kwi, kwa	8915				
here-F	2699	Ladin	TSCHO, ACCO / ACQUI, QUI	9496				
here-F	2699	Latin	hik	20423				
here-F	2699	Portuguese_ST	ɐˈki	12821				
here-F	2699	Provencal	EICI, CAI	13021				
here-F	2699	Rumanian_List	aˈitʃʲ	13418				
here-F	2699	Rumanian_List	INCOACE	25496				
here-F	2699	Spanish	a'ki	15980				
here-G	1018	Breton_ST	ˈa.mɑ	3020				
here-G	1018	Cornish	omma	19693				
here-G	1018	Welsh_N	YMA	18509				
here-J	1666	Catalan	ə'ki	4000				
here-J	1666	French	isi	5778				
here-J	1666	Italian	kwi, kwa	8915				
here-J	1666	Ladin	TSCHO, ACCO / ACQUI, QUI	9496				
here-J	1666	Portuguese_ST	ɐˈki	12821				
here-J	1666	Provencal	EICI, CAI	13021				
here-J	1666	Rumanian_List	aˈitʃʲ	13418				
here-J	1666	Rumanian_List	INCOACE	25496				
here-J	1666	Spanish	a'ki	15980				
here-K	2700	Sardinian_C	INNOI	14009				
here-K	2700	Sardinian_N	INOKKE	14408				
here-N	2689	Irish_B	ənˈʃo	8719				
here-N	2689	Scots_Gaelic	an seo	23846				
hit-Aa	2712	Cornish	fyscy	19696				
hit-Aa	2712	Cornish	gweskel	19695				
hit-B	240	Dutch_List	rakə(n)	4986				
hit-B	240	Flemish	RAKEN	25509				
hit-G	892	Catalan	kupə'ʒa	4001				
hit-G	892	Friulian	colpî	26238				
hit-G	892	Italian	kol'pire	25518				
hit-G	892	Ladin	COLPIR	9497	LOAN	?		
hit-G	892	Sardinian_N	KURPIRE	14409				
hit-G	892	Spanish	ɡolpe'aɾ	15981				
hit-H	1019	Breton_ST	'skɛĩ	3021				
hit-H	1019	Cornish	skwatya	19701				
hit-K	2702	Dutch_List	'stotə(n)	25511				
hit-K	2702	Gothic	stautiþ	19997				
hit-M	1715	Irish_B	DO BHUALADH	25522				
hit-M	1715	Irish_B	bˠuəlʲ	26926				
hit-M	1715	Old_Irish	búalid	28211				
hit-M	1715	Scots_Gaelic	ˈbuɪl	23967				
hit-O	2152	Welsh_N	TARO	18510				
hit-P	2518	English	hɪt	5185	LOAN	Norse		
hit-V	2707	Afrikaans	SLAAN	273			SS	
hit-V	2707	Faroese	SLAA	5383				
hit-V	2707	Flemish	SLAEN	5580				
hit-V	2707	Frisian	SLAEN	6371				
hit-V	2707	German	'ʃla:gŋ̩	6564				
hit-V	2707	Gothic	slahiþ	19996				
hit-V	2707	Icelandic_ST	stlauː	8327				
hit-V	2707	Luxembourgish	schloen	24192				
hit-V	2707	Norwegian	SLA	13221				
hit-V	2707	Old_English	sliehþ	21407				
hit-V	2707	Old_High_German	slehit	27965				
hit-V	2707	Old_Norse	slá	21663				
hit-V	2707	Swedish	slo:	16180				
hit-W	2708	Danish	ˈd̥ʰʁafə	25507				
hit-W	2708	Flemish	TREFFEN	25508				
hit-W	2708	German	'trɛfn̩	25512				
hit-W	2708	Old_Norse	drepr	21666				
hit-X	2709	Latin	ferit	20424				
hit-X	2709	Old_Norse	berr	21665				
hit-X	2709	Walloon	FERI	25514				
hit-Y	2710	Catalan	'batɾə	25513				
hit-Y	2710	Italian	'battere	8916				
hit-Y	2710	Romansh	batter	26445				
hit-Z	2711	Provencal	PICA	13022				
hit-Z	2711	Sardinian_C	PIGAI	14010				
hold-A	241	Afrikaans	HOU	274				
hold-A	241	Danish	ˈhʌlə	4787				
hold-A	241	Dutch_List	'hɑudə(n)	4987				
hold-A	241	English	həʊld	5186				
hold-A	241	Faroese	HALDA	5384				
hold-A	241	Flemish	VASTHOUDEN	25526				
hold-A	241	Frisian	hɔːdə, hɔːrə	6372				
hold-A	241	German	'haltn̩	6565				
hold-A	241	Icelandic_ST	HALDA	8328				
hold-A	241	Luxembourgish	halen	24208				
hold-A	241	Norwegian	HOLDE	13222				
hold-A	241	Old_English	hielt	21409				
hold-A	241	Old_Norse	halda	21667				
hold-A	241	Swedish	'hɔla	16181				
hold-F	893	Catalan	tə'ni	4002				
hold-F	893	French	təniʀ	5780				
hold-F	893	Friulian	tignî	26239				
hold-F	893	Italian	te'nere	8917				
hold-F	893	Ladin	TGNAIR, TEGNER	9498				
hold-F	893	Latin	tenēre	20425				
hold-F	893	Portuguese_ST	ter	12823				
hold-F	893	Provencal	TENI	13023				
hold-F	893	Romansh	tegnair	26446				
hold-F	893	Rumanian_List	a ˈtsine	13420				
hold-F	893	Sardinian_C	TENNI	14011				
hold-F	893	Spanish	te'neɾ	15982				
hold-F	893	Walloon	TINI, TINRE	17919				
hold-G	1020	Breton_ST	'dɛrxɛl	3022				
hold-G	1020	Welsh_N	DAL	18511				
hold-L	2713	Flemish	GRYPEN	5581				
hold-M	2717	Portuguese_ST	sɨɡuˈɾaɾ	26793				
hold-O	2719	Gothic	habaiþ	19999				
hold-O	2719	Old_High_German	habēt	27966				
hold-O	2719	Schwyzerdutsch	häbe	29081				
hold-P	2720	Cornish	gaval	19704				
hold-P	2720	Irish_B	CONGABHAIM	8721				
hold-P	2720	Old_Irish	con·gaib	28212				
horn-A	2457	Cornish	korn	19705	LOAN	?		
horn-A	2457	Danish	hoɐ̯n	25053				
horn-A	2457	Dutch_List	horn	25052				
horn-A	2457	English	horn	28983				
horn-A	2457	French	kɔʀn	25060				
horn-A	2457	Friulian	cuar	26240				
horn-A	2457	German	hɔrn	25055				
horn-A	2457	Gothic	haúrn	20000				
horn-A	2457	Icelandic_ST	hɔrtn	26972				
horn-A	2457	Irish_B	koːɾˠn̪ˠ	26919	LOAN	?		
horn-A	2457	Italian	'kɔrno	25061				
horn-A	2457	Latin	ˈkor.nu:	20426				
horn-A	2457	Luxembourgish	Har	24145				
horn-A	2457	Old_English	horn	21410				
